Number,Image,Name,Release Year,Platform,Genre,Copies Sold,Producer/Publisher
52,Monster_Hunter_World.jpeg  ,Monster Hunter: World  ,2018,PlayStation 4  ,Action RPG  ,18 million  ,Capcom 
53,Sonic_The_Hedgehog.jpeg,Sonic The Hedgehog,1991,On all Platform,Platformer  ,24 million,Sega  
54,Sonic_The_Hedgehog2.jpeg,Sonic the Hedgehog 2,1992,On all Platform,Platformer  ,7.55 million,Sega  
55,Sonic_The_Hedgehog3.jpeg,Sonic the Hedgehog 3,1994,On all Platform,Platformer  ,3 million  ,Sega  
56,Sonic_Knuckles.jpeg,Sonic & Knuckles,1994,On all Platform,Platformer  ,4 Milllion,Sega  
57,Sonic_Adventure.jpeg,Sonic Adventure,1998,On all Platform,3D Platformer,2.5 Million,Sega  
58,Sonic_Adventure2.jpeg,Sonic Adventure 2,2001,On all Platform,3D Platformer,1.7 Million,Sega  
59,Sonic_Heroes.jpeg,Sonic Heroes,2003,PS2/Gamecube/Xbox,3D Platformer,3.41 Million ,Sega  
60,Sonic_06.jpeg,Sonic 06,2006,Xbox 360/PS3,3D Platformer,2.69 Million,Sega  
,,,,,,,
,we only need 60 so do not add any more games,,,,,,
,(professor stated we can do 60 products per group in class),,,,,,
,,,,,,,
,,,,,,,
